Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,StartDate,Player
37,6,108,6,2.91,18,37,Australia,The Oval,29 Aug 1985,botham
19,4,67,2,3.52,33.5,57,West Indies,Kingston,21 Feb 1986,botham
9.4,0,68,1,7.03,68,58,West Indies,Port of Spain,7 Mar 1986,botham
24,3,80,1,3.33,80,144,West Indies,Bridgetown,21 Mar 1986,botham
27.1,3,95,5,3.49,19,32.6,West Indies,Port of Spain,3 Apr 1986,botham
55,6,225,2,4.09,112.5,165,West Indies,St John's,11 Apr 1986,botham
26,4,82,3,3.15,27.33,52,New Zealand,The Oval,21 Aug 1986,botham
28,1,92,3,3.28,30.66,56,Australia,Brisbane,14 Nov 1986,botham
29.2,8,85,1,2.89,85,176,Australia,Perth,28 Nov 1986,botham
23,5,60,5,2.6,12,27.6,Australia,Melbourne,26 Dec 1986,botham
26,10,59,0,2.26,-,-,Australia,Sydney,10 Jan 1987,botham
14,7,29,1,2.07,29,84,Pakistan,Manchester,4 Jun 1987,botham
-,-,-,-,-,-,-,Pakistan,Lord's,18 Jun 1987,botham
-,-,-,-,-,-,-,Pakistan,Leeds,2 Jul 1987,botham
68.3,16,187,3,2.72,62.33,137,Pakistan,Birmingham,23 Jul 1987,botham
52,7,217,3,4.17,72.33,104,Pakistan,The Oval,6 Aug 1987,botham
26,5,75,1,2.88,75,156,Australia,Birmingham,6 Jul 1989,botham
24,6,63,2,2.62,31.5,72,Australia,Manchester,27 Jul 1989,botham
30,4,103,0,3.43,-,-,Australia,Nottingham,10 Aug 1989,botham
27,8,67,3,2.48,22.33,54,West Indies,The Oval,8 Aug 1991,botham
16,5,41,1,2.56,41,96,Sri Lanka,Lord's,22 Aug 1991,botham
22,5,76,3,3.45,25.33,44,New Zealand,Wellington,6 Feb 1992,botham
19,6,52,0,2.73,-,-,Pakistan,Birmingham,4 Jun 1992,botham
5,2,9,0,1.8,-,-,Pakistan,Lord's,18 Jun 1992,botham
19,1,110,0,4.34,-,-,Pakistan,Melbourne,29 Dec 1972,thomson
38.5,8,105,9,2.03,11.66,34.3,England,Brisbane,29 Nov 1974,thomson
40,10,138,7,2.58,19.71,45.7,England,Perth,13 Dec 1974,thomson
39.4,5,143,8,2.71,17.87,39.5,England,Melbourne,26 Dec 1974,thomson
42,10,148,6,2.64,24.66,56,England,Sydney,4 Jan 1975,thomson
15,1,58,3,2.9,19.33,40,England,Adelaide,25 Jan 1975,thomson
28,11,59,5,2.1,11.8,33.6,England,Birmingham,10 Jul 1975,thomson
53,15,165,3,3.11,55,106,England,Lord's,31 Jul 1975,thomson
42,14,120,3,2.85,40,84,England,Leeds,14 Aug 1975,thomson
52.1,16,113,5,2.16,22.6,62.6,England,The Oval,28 Aug 1975,thomson
28,3,158,1,4.23,158,224,West Indies,Brisbane,28 Nov 1975,thomson
17,0,128,3,5.64,42.66,45.3,West Indies,Perth,12 Dec 1975,thomson
20,1,113,6,4.23,18.83,26.6,West Indies,Melbourne,26 Dec 1975,thomson
40,9,167,9,3.13,18.55,35.5,West Indies,Sydney,3 Jan 1976,thomson
24,2,134,6,4.18,22.33,32,West Indies,Adelaide,23 Jan 1976,thomson
21.5,0,131,4,4.54,32.75,43.2,West Indies,Melbourne,31 Jan 1976,thomson
8.5,2,34,2,2.95,17,34.5,Pakistan,Adelaide,24 Dec 1976,thomson
45.3,8,127,8,2.79,15.87,34.1,England,Lord's,16 Jun 1977,thomson
46,13,97,3,2.1,32.33,92,England,Manchester,7 Jul 1977,thomson
47,12,137,3,2.91,45.66,94,England,Nottingham,28 Jul 1977,thomson
34,7,113,4,3.32,28.25,51,England,Leeds,11 Aug 1977,thomson
28.2,4,109,5,3.84,21.8,34,England,The Oval,25 Aug 1977,thomson
35.7,2,130,7,2.71,18.57,41,India,Brisbane,2 Dec 1977,thomson
45.5,4,166,6,2.72,27.66,60.8,India,Perth,16 Dec 1977,thomson
34,6,125,3,2.75,41.66,90.6,India,Melbourne,30 Dec 1977,thomson
27,8,83,4,2.3,20.75,54,India,Sydney,7 Jan 1978,thomson
3.3,1,12,2,2.66,6,13.5,India,Adelaide,28 Jan 1978,thomson
21,6,84,3,4,28,42,West Indies,Port of Spain,3 Mar 1978,thomson
19,2,99,6,5.21,16.5,19,West Indies,Bridgetown,17 Mar 1978,thomson
36.2,3,139,5,3.82,27.8,43.6,West Indies,Georgetown,31 Mar 1978,thomson
38,9,140,3,3.68,46.66,76,West Indies,Port of Spain,15 Apr 1978,thomson
37,5,114,3,3.08,38,74,West Indies,Kingston,28 Apr 1978,thomson
27,6,93,4,3.44,23.25,40.5,West Indies,Brisbane,1 Dec 1979,thomson
32,6,100,3,3.12,33.33,64,England,Perth,14 Dec 1979,thomson
14,5,39,2,2.78,19.5,42,Pakistan,Perth,13 Nov 1981,thomson
30,5,95,3,3.16,31.66,60,Pakistan,Brisbane,27 Nov 1981,thomson
25,2,85,0,3.4,-,-,Pakistan,Melbourne,11 Dec 1981,thomson
35,4,143,3,4.08,47.66,70,West Indies,Sydney,2 Jan 1982,thomson
48.1,6,174,6,3.61,29,48.1,West Indies,Adelaide,30 Jan 1982,thomson
26,13,35,2,1.34,17.5,78,New Zealand,Wellington,26 Feb 1982,thomson
23,8,52,0,2.26,-,-,New Zealand,Auckland,12 Mar 1982,thomson
40,10,105,4,2.62,26.25,60,New Zealand,Christchurch,19 Mar 1982,thomson
32,6,119,2,3.71,59.5,96,Pakistan,Karachi,22 Sep 1982,thomson
23,5,79,0,3.43,-,-,Pakistan,Faisalabad,30 Sep 1982,thomson
24,1,97,1,4.04,97,144,Pakistan,Lahore,14 Oct 1982,thomson
39,6,116,5,2.97,23.2,46.8,England,Brisbane,26 Nov 1982,thomson
27.5,6,92,5,3.3,18.4,33.4,England,Adelaide,10 Dec 1982,thomson
34,5,123,5,3.61,24.6,40.8,England,Melbourne,26 Dec 1982,thomson
26.5,5,80,7,2.98,11.42,23,England,Sydney,2 Jan 1983,thomson
37,3,174,2,4.7,87,111,England,Leeds,13 Jun 1985,thomson
19,1,101,1,5.31,101,114,England,Birmingham,15 Aug 1985,thomson
31,8,138,5,4.45,27.6,37.2,Zimbabwe,Lord's,22 May 2003,anderson
33,10,85,6,2.57,14.16,33,Zimbabwe,Chester-le-Street,5 Jun 2003,anderson
26,3,129,1,4.96,129,156,South Africa,Birmingham,24 Jul 2003,anderson
27,6,90,2,3.33,45,81,South Africa,Lord's,31 Jul 2003,anderson
39.5,8,119,7,2.98,17,34.1,South Africa,Nottingham,14 Aug 2003,anderson
34,11,119,2,3.5,59.5,102,South Africa,Leeds,21 Aug 2003,anderson
35,7,141,3,4.02,47,70,South Africa,The Oval,4 Sep 2003,anderson
24,5,85,0,3.54,-,-,Sri Lanka,Colombo (SSC),18 Dec 2003,anderson
16.3,4,60,2,3.63,30,49.5,West Indies,Birmingham,29 Jul 2004,anderson
16.3,2,71,1,4.3,71,99,West Indies,Manchester,12 Aug 2004,anderson
22.1,2,88,4,3.96,22,33.2,West Indies,The Oval,19 Aug 2004,anderson
34,4,149,2,4.38,74.5,102,South Africa,Johannesburg,13 Jan 2005,anderson
31.1,10,79,6,2.53,13.16,31.1,India,Mumbai,18 Mar 2006,anderson
38,7,195,1,5.13,195,228,Australia,Brisbane,23 Nov 2006,anderson
25.2,3,108,1,4.26,108,152,Australia,Adelaide,1 Dec 2006,anderson
30,8,110,3,3.66,36.66,60,Australia,Sydney,2 Jan 2007,anderson
49.2,12,125,7,2.53,17.85,42.2,India,Lord's,19 Jul 2007,anderson
42,6,157,1,3.73,157,252,India,Nottingham,27 Jul 2007,anderson
55,13,216,6,3.92,36,55,India,The Oval,9 Aug 2007,anderson
38.4,7,167,2,4.31,83.5,116,Sri Lanka,Kandy,1 Dec 2007,anderson
35,6,130,7,3.71,18.57,30,New Zealand,Wellington,13 Mar 2008,anderson
24,3,153,1,6.37,153,144,New Zealand,Napier,22 Mar 2008,anderson
39,10,130,5,3.33,26,46.8,New Zealand,Lord's,15 May 2008,anderson
28.3,1,139,5,4.87,27.8,34.2,New Zealand,Manchester,23 May 2008,anderson
36,11,98,9,2.72,10.88,24,New Zealand,Nottingham,5 Jun 2008,anderson
53,14,114,3,2.15,38,106,South Africa,Lord's,10 Jul 2008,anderson
44,9,136,3,3.09,45.33,88,South Africa,Leeds,18 Jul 2008,anderson
39.2,6,132,4,3.35,33,59,South Africa,Birmingham,30 Jul 2008,anderson
37,3,127,5,3.43,25.4,44.4,South Africa,The Oval,7 Aug 2008,anderson
22,4,79,2,3.59,39.5,66,India,Chennai,11 Dec 2008,anderson
51,13,135,2,2.64,67.5,153,India,Mohali,19 Dec 2008,anderson
-,-,-,-,-,-,-,West Indies,North Sound,13 Feb 2009,anderson
44,7,123,2,2.79,61.5,132,West Indies,St John's,15 Feb 2009,anderson
37,9,125,3,3.37,41.66,74,West Indies,Bridgetown,26 Feb 2009,anderson
48,14,94,4,1.95,23.5,72,West Indies,Port of Spain,6 Mar 2009,anderson
22,6,70,2,3.18,35,66,West Indies,Lord's,6 May 2009,anderson
42.3,10,125,9,2.94,13.88,28.3,West Indies,Chester-le-Street,14 May 2009,anderson
32,6,110,2,3.43,55,96,Australia,Cardiff,8 Jul 2009,anderson
42,9,141,4,3.35,35.25,63,Australia,Lord's,16 Jul 2009,anderson
45,15,127,6,2.82,21.16,45,Australia,Birmingham,30 Jul 2009,anderson
18,3,89,0,4.94,-,-,Australia,Leeds,7 Aug 2009,anderson
21,5,75,0,3.57,-,-,Australia,The Oval,20 Aug 2009,anderson
57.5,10,177,5,3.06,35.4,69.4,South Africa,Centurion,16 Dec 2009,anderson
31.3,6,99,3,3.14,33,63,South Africa,Durban,26 Dec 2009,anderson
43.3,2,161,8,3.7,20.12,32.6,South Africa,Cape Town,3 Jan 2010,anderson
30,4,111,0,3.7,-,-,South Africa,Johannesburg,14 Jan 2010,anderson
60,14,162,5,2.7,32.4,72,Bangladesh,Lord's,27 May 2010,anderson
24,7,61,4,2.54,15.25,36,Bangladesh,Manchester,4 Jun 2010,anderson
37,15,71,11,1.91,6.45,20.1,Pakistan,Nottingham,29 Jul 2010,anderson
42.3,19,82,5,1.92,16.4,51,Pakistan,Birmingham,6 Aug 2010,anderson
38,11,118,4,3.1,29.5,57,Pakistan,The Oval,18 Aug 2010,anderson
23,10,45,3,1.95,15,46,Pakistan,Lord's,26 Aug 2010,anderson
42,15,114,2,2.71,57,126,Australia,Brisbane,25 Nov 2010,anderson
41,8,143,6,3.48,23.83,41,Australia,Adelaide,3 Dec 2010,anderson
46,10,126,4,2.73,31.5,69,Australia,Perth,16 Dec 2010,anderson
36,5,115,5,3.19,23,43.2,Australia,Melbourne,26 Dec 2010,anderson
48.1,12,127,7,2.63,18.14,41.2,Australia,Sydney,3 Jan 2011,anderson
28,8,66,3,2.35,22,56,Sri Lanka,Cardiff,26 May 2011,anderson
53,16,137,4,2.58,34.25,79.5,Sri Lanka,Southampton,16 Jun 2011,anderson
51.5,13,152,7,2.93,21.71,44.4,India,Lord's,21 Jul 2011,anderson
43,11,131,5,3.04,26.2,51.6,India,Nottingham,29 Jul 2011,anderson
39.2,6,154,6,3.91,25.66,39.3,India,Birmingham,10 Aug 2011,anderson
33,11,103,3,3.12,34.33,66,India,The Oval,18 Aug 2011,anderson
32,8,78,2,2.43,39,96,Pakistan,Dubai (DSC),17 Jan 2012,anderson
33.4,8,85,3,2.52,28.33,67.3,Pakistan,Abu Dhabi,25 Jan 2012,anderson
42.1,10,86,4,2.03,21.5,63.2,Pakistan,Dubai (DSC),3 Feb 2012,anderson
31,7,98,5,3.16,19.6,37.2,Sri Lanka,Galle,26 Mar 2012,anderson
42,11,98,4,2.33,24.5,63,Sri Lanka,Colombo (PSS),3 Apr 2012,anderson
61,19,126,3,2.06,42,122,West Indies,Lord's,17 May 2012,anderson
50.1,18,116,6,2.31,19.33,50.1,West Indies,Nottingham,25 May 2012,anderson
41,7,116,1,2.82,116,246,South Africa,The Oval,19 Jul 2012,anderson
52.2,17,101,3,1.92,33.66,104.6,South Africa,Leeds,2 Aug 2012,anderson
54.2,9,149,5,2.74,29.8,65.2,South Africa,Lord's,16 Aug 2012,anderson
29,7,85,1,2.93,85,174,India,Ahmedabad,15 Nov 2012,anderson
22,4,70,1,3.18,70,132,India,Mumbai,23 Nov 2012,anderson
43.4,11,127,6,2.9,21.16,43.6,India,Kolkata,5 Dec 2012,anderson
32,5,81,4,2.53,20.25,48,India,Nagpur,13 Dec 2012,anderson
33,2,137,4,4.15,34.25,49.5,New Zealand,Dunedin,6 Mar 2013,anderson
37,10,95,3,2.56,31.66,74,New Zealand,Wellington,14 Mar 2013,anderson
47,14,138,3,2.93,46,94,New Zealand,Auckland,22 Mar 2013,anderson
35.3,16,70,7,1.97,10,30.4,New Zealand,Lord's,16 May 2013,anderson
19.1,6,62,2,3.23,31,57.5,New Zealand,Leeds,24 May 2013,anderson
55.5,13,158,10,2.82,15.8,33.5,Australia,Nottingham,10 Jul 2013,anderson
32,10,80,3,2.5,26.66,64,Australia,Lord's,18 Jul 2013,anderson
41,6,153,2,3.73,76.5,123,Australia,Manchester,1 Aug 2013,anderson
41,9,138,2,3.36,69,123,Australia,Chester-le-Street,9 Aug 2013,anderson
35.5,5,122,5,3.4,24.4,43,Australia,The Oval,21 Aug 2013,anderson
44.1,7,140,2,3.16,70,132.5,Australia,Brisbane,21 Nov 2013,anderson
37,11,104,3,2.81,34.66,74,Australia,Adelaide,5 Dec 2013,anderson
42,10,165,2,3.92,82.5,126,Australia,Perth,13 Dec 2013,anderson
31.2,6,93,4,2.96,23.25,47,Australia,Melbourne,26 Dec 2013,anderson
36,9,113,3,3.13,37.66,72,Australia,Sydney,3 Jan 2014,anderson
50,17,118,7,2.36,16.85,42.8,Sri Lanka,Lord's,12 Jun 2014,anderson
44.5,10,140,5,3.12,28,53.8,Sri Lanka,Leeds,20 Jun 2014,anderson
59,18,170,4,2.88,42.5,88.5,India,Nottingham,9 Jul 2014,anderson
52,18,137,5,2.63,27.4,62.4,India,Lord's,17 Jul 2014,anderson
40.1,15,77,7,1.91,11,34.4,India,Southampton,27 Jul 2014,anderson
23,7,64,5,2.78,12.8,27.6,India,Manchester,7 Aug 2014,anderson
25,7,67,4,2.68,16.75,37.5,India,The Oval,15 Aug 2014,anderson
47.4,12,139,4,2.91,34.75,71.5,West Indies,North Sound,13 Apr 2015,anderson
46,17,90,6,1.95,15,46,West Indies,St George's,21 Apr 2015,anderson
25.4,9,77,7,3,11,22,West Indies,Bridgetown,1 May 2015,anderson
43,12,119,2,2.76,59.5,129,New Zealand,Lord's,21 May 2015,anderson
36,7,139,4,3.86,34.75,54,New Zealand,Leeds,29 May 2015,anderson
36,5,95,1,2.63,95,216,Sri Lanka,Colombo (SSC),9 Dec 2007,broad
35,6,118,3,3.37,39.33,70,New Zealand,Wellington,13 Mar 2008,broad
49,13,132,5,2.69,26.4,58.8,New Zealand,Napier,22 Mar 2008,broad
41,8,139,3,3.39,46.33,82,New Zealand,Lord's,15 May 2008,broad
24,3,79,0,3.29,-,-,New Zealand,Manchester,23 May 2008,broad
27,7,87,4,3.22,21.75,40.5,New Zealand,Nottingham,5 Jun 2008,broad
49,10,166,2,3.38,83,147,South Africa,Lord's,10 Jul 2008,broad
30,2,122,1,4.06,122,180,South Africa,Leeds,18 Jul 2008,broad
30.2,7,104,5,3.42,20.8,36.4,South Africa,The Oval,7 Aug 2008,broad
40,11,134,2,3.35,67,120,India,Mohali,19 Dec 2008,broad
29,7,85,5,2.93,17,34.8,West Indies,Kingston,4 Feb 2009,broad
-,-,-,-,-,-,-,West Indies,North Sound,13 Feb 2009,broad
