Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
EN,95/8,51.0x5,2.23,won,AU,The Oval,11 Aug 1890
AU,240,151.1,1.58,won,EN,Melbourne,1 Jan 1892
EN,264,91.4,2.88,lost,AU,Melbourne,1 Jan 1892
AU,236,191.5,1.23,won,EN,Melbourne,1 Jan 1892
EN,158,82.2,1.91,lost,AU,Melbourne,1 Jan 1892
AU,144,94.2,1.52,won,EN,Sydney,29 Jan 1892
EN,307,114.2,2.68,lost,AU,Sydney,29 Jan 1892
AU,391,219.4,1.77,won,EN,Sydney,29 Jan 1892
EN,156,66.2,2.35,lost,AU,Sydney,29 Jan 1892
EN,499,173.1,2.88,won,AU,Adelaide,24 Mar 1892
AU,100,42.5,2.33,lost,EN,Adelaide,24 Mar 1892
AU,169,68,2.48,lost,EN,Adelaide,24 Mar 1892
EN,334,125.0x5,3.2,draw,AU,Lord's,17 Jul 1893
AU,269,114.1x5,2.82,draw,EN,Lord's,17 Jul 1893
EN,234/8d,116.4x5,2.4,draw,AU,Lord's,17 Jul 1893
EN,483,187.0x5,3.09,won,AU,The Oval,14 Aug 1893
AU,91,37.3x5,2.9,lost,EN,The Oval,14 Aug 1893
AU,349,98.0x5,4.27,lost,EN,The Oval,14 Aug 1893
AU,204,96.4x5,2.52,draw,EN,Manchester,24 Aug 1893
EN,243,140.2x5,2.07,draw,AU,Manchester,24 Aug 1893
AU,236,95.3x5,2.96,draw,EN,Manchester,24 Aug 1893
EN,118/4,63.0x5,2.24,draw,AU,Manchester,24 Aug 1893
AU,586,172.3,3.39,lost,EN,Sydney,14 Dec 1894
EN,325,140.3,2.31,won,AU,Sydney,14 Dec 1894
EN,437,181.4,2.4,won,AU,Sydney,14 Dec 1894
AU,166,68,2.44,lost,EN,Sydney,14 Dec 1894
EN,75,40.1,1.86,won,AU,Melbourne,29 Dec 1894
AU,123,55.5,2.2,lost,EN,Melbourne,29 Dec 1894
EN,475,202.2,2.34,won,AU,Melbourne,29 Dec 1894
AU,333,136.1,2.44,lost,EN,Melbourne,29 Dec 1894
AU,238,81.1,2.93,won,EN,Adelaide,11 Jan 1895
EN,124,57.3,2.15,lost,AU,Adelaide,11 Jan 1895
AU,411,115.2,3.56,won,EN,Adelaide,11 Jan 1895
EN,143,67.1,2.12,lost,AU,Adelaide,11 Jan 1895
AU,284,83.5,3.38,won,EN,Sydney,1 Feb 1895
EN,65,38.5,1.67,lost,AU,Sydney,1 Feb 1895
EN,72,29.1,2.46,lost,AU,Sydney,1 Feb 1895
AU,414,148.4,2.78,lost,EN,Melbourne,1 Mar 1895
EN,385,133,2.89,won,AU,Melbourne,1 Mar 1895
AU,267,123.2,2.16,lost,EN,Melbourne,1 Mar 1895
EN,298/4,88.1,3.37,won,AU,Melbourne,1 Mar 1895
AU,53,22.3x5,2.81,lost,EN,Lord's,22 Jun 1896
EN,292,107.4x5,3.25,won,AU,Lord's,22 Jun 1896
AU,347,133.0x5,3.13,lost,EN,Lord's,22 Jun 1896
EN,111/4,47.1x5,2.82,won,AU,Lord's,22 Jun 1896
AU,412,170.0x5,2.9,won,EN,Manchester,16 Jul 1896
EN,231,90.0x5,3.08,lost,AU,Manchester,16 Jul 1896
EN,305,90.1x5,4.05,lost,AU,Manchester,16 Jul 1896
AU,125/7,84.3x5,1.77,won,EN,Manchester,16 Jul 1896
EN,145,81.3x5,2.13,won,AU,The Oval,10 Aug 1896
AU,119,53.1x5,2.68,lost,EN,The Oval,10 Aug 1896
EN,84,49.0x5,2.05,won,AU,The Oval,10 Aug 1896
AU,44,26.0x5,2.03,lost,EN,The Oval,10 Aug 1896
EN,551,175,3.14,won,AU,Sydney,13 Dec 1897
AU,237,100.1,2.36,lost,EN,Sydney,13 Dec 1897
AU,408,121,3.37,lost,EN,Sydney,13 Dec 1897
EN,96/1,28,3.42,won,AU,Sydney,13 Dec 1897
AU,520,185,2.81,won,EN,Melbourne,1 Jan 1898
EN,315,119.5,2.62,lost,AU,Melbourne,1 Jan 1898
EN,150,65.4,2.28,lost,AU,Melbourne,1 Jan 1898
AU,573,214.2,2.67,won,EN,Adelaide,14 Jan 1898
EN,278,126.5,2.19,lost,AU,Adelaide,14 Jan 1898
EN,282,144,1.95,lost,AU,Adelaide,14 Jan 1898
AU,323,101.4,3.17,won,EN,Melbourne,29 Jan 1898
EN,174,61.1,2.84,lost,AU,Melbourne,29 Jan 1898
EN,263,114.2,2.3,lost,AU,Melbourne,29 Jan 1898
AU,115/2,39.4,2.89,won,EN,Melbourne,29 Jan 1898
EN,335,129.2,2.59,lost,AU,Sydney,26 Feb 1898
AU,239,100.1,2.38,won,EN,Sydney,26 Feb 1898
EN,178,78.1,2.27,lost,AU,Sydney,26 Feb 1898
AU,276/4,62.4,4.4,won,EN,Sydney,26 Feb 1898
AU,252,152.2x5,1.98,draw,EN,Nottingham,1 Jun 1899
EN,193,90.4x5,2.55,draw,AU,Nottingham,1 Jun 1899
AU,230/8d,94.0x5,2.93,draw,EN,Nottingham,1 Jun 1899
EN,155/7,99.0x5,1.87,draw,AU,Nottingham,1 Jun 1899
EN,206,80.1x5,3.08,lost,AU,Lord's,15 Jun 1899
AU,421,170.1x5,2.96,won,EN,Lord's,15 Jun 1899
EN,240,117.4x5,2.44,lost,AU,Lord's,15 Jun 1899
AU,28/0,11.0x5,3.05,won,EN,Lord's,15 Jun 1899
AU,172,77.1x5,2.67,draw,EN,Leeds,29 Jun 1899
EN,220,118.3x5,2.22,draw,AU,Leeds,29 Jun 1899
AU,224,85.3x5,3.14,draw,EN,Leeds,29 Jun 1899
EN,19/0,7.0x5,3.25,draw,AU,Leeds,29 Jun 1899
EN,372,141.1x5,3.16,draw,AU,Manchester,17 Jul 1899
AU,196,82.3x5,2.84,draw,EN,Manchester,17 Jul 1899
AU,346/7d,181.0x5,2.29,draw,EN,Manchester,17 Jul 1899
EN,94/3,27.0x5,4.17,draw,AU,Manchester,17 Jul 1899
EN,576,193.4x5,3.56,draw,AU,The Oval,14 Aug 1899
AU,352,143.3x5,2.94,draw,EN,The Oval,14 Aug 1899
AU,254/5,100.0x5,3.04,draw,EN,The Oval,14 Aug 1899
EN,464,186,2.49,won,AU,Sydney,13 Dec 1901
AU,168,72.1,2.32,lost,EN,Sydney,13 Dec 1901
AU,172,57.4,2.98,lost,EN,Sydney,13 Dec 1901
AU,112,32.1,3.48,won,EN,Melbourne,1 Jan 1902
EN,61,15.4,3.89,lost,AU,Melbourne,1 Jan 1902
AU,353,156.2,2.25,won,EN,Melbourne,1 Jan 1902
EN,175,79.5,2.19,lost,AU,Melbourne,1 Jan 1902
EN,388,170,2.28,lost,AU,Adelaide,17 Jan 1902
AU,321,113,2.84,won,EN,Adelaide,17 Jan 1902
EN,247,111,2.22,lost,AU,Adelaide,17 Jan 1902
AU,315/6,134,2.35,won,EN,Adelaide,17 Jan 1902
EN,317,138.2,2.29,lost,AU,Sydney,14 Feb 1902
AU,299,139,2.15,won,EN,Sydney,14 Feb 1902
EN,99,48.1,2.05,lost,AU,Sydney,14 Feb 1902
AU,121/3,36.3,3.31,won,EN,Sydney,14 Feb 1902
AU,144,53,2.71,won,EN,Melbourne,28 Feb 1902
EN,189,67.3,2.8,lost,AU,Melbourne,28 Feb 1902
AU,255,89.1,2.85,won,EN,Melbourne,28 Feb 1902
EN,178,65.3,2.71,lost,AU,Melbourne,28 Feb 1902
EN,376/9d,142,2.64,draw,AU,Birmingham,29 May 1902
AU,36,23,1.56,draw,EN,Birmingham,29 May 1902
AU,46/2,28,1.64,draw,EN,Birmingham,29 May 1902
AU,DNB,0,,draw,EN,Lord's,12 Jun 1902
EN,102/2,38,2.68,draw,AU,Lord's,12 Jun 1902
AU,194,66.1,2.93,won,EN,Sheffield,3 Jul 1902
EN,145,61.3,2.35,lost,AU,Sheffield,3 Jul 1902
AU,289,72.1,4,won,EN,Sheffield,3 Jul 1902
EN,195,60.5,3.2,lost,AU,Sheffield,3 Jul 1902
AU,299,76.1,3.92,won,EN,Manchester,24 Jul 1902
EN,262,114,2.29,lost,AU,Manchester,24 Jul 1902
AU,86,47.4,1.8,won,EN,Manchester,24 Jul 1902
EN,120,49.4,2.41,lost,AU,Manchester,24 Jul 1902
AU,324,123.5,2.61,lost,EN,The Oval,11 Aug 1902
EN,183,61,3,won,AU,The Oval,11 Aug 1902
AU,121,60,2.01,lost,EN,The Oval,11 Aug 1902
EN,263/9,66.5,3.93,won,AU,The Oval,11 Aug 1902
AU,285,118.2,2.4,lost,EN,Sydney,11 Dec 1903
EN,577,181.2,3.18,won,AU,Sydney,11 Dec 1903
AU,485,145.2,3.33,lost,EN,Sydney,11 Dec 1903
EN,194/5,95.5,2.02,won,AU,Sydney,11 Dec 1903
EN,315,152.5,2.06,won,AU,Melbourne,1 Jan 1904
AU,122,30.2,4.02,lost,EN,Melbourne,1 Jan 1904
EN,103,28.5,3.57,won,AU,Melbourne,1 Jan 1904
AU,111,29.4,3.74,lost,EN,Melbourne,1 Jan 1904
AU,388,106.1,3.65,won,EN,Adelaide,15 Jan 1904
EN,245,102,2.4,lost,AU,Adelaide,15 Jan 1904
AU,351,114.5,3.05,won,EN,Adelaide,15 Jan 1904
EN,278,117.1,2.37,lost,AU,Adelaide,15 Jan 1904
EN,249,114.1,2.18,won,AU,Sydney,26 Feb 1904
AU,131,51.3,2.54,lost,EN,Sydney,26 Feb 1904
EN,210,99.3,2.11,won,AU,Sydney,26 Feb 1904
AU,171,72.5,2.34,lost,EN,Sydney,26 Feb 1904
AU,247,82.1,3,won,EN,Melbourne,5 Mar 1904
EN,61,31.2,1.94,lost,AU,Melbourne,5 Mar 1904
AU,133,43.5,3.03,won,EN,Melbourne,5 Mar 1904
EN,101,22.5,4.42,lost,AU,Melbourne,5 Mar 1904
EN,196,71.3,2.74,won,AU,Nottingham,29 May 1905
AU,221,63.5,3.46,lost,EN,Nottingham,29 May 1905
EN,426/5d,153,2.78,won,AU,Nottingham,29 May 1905
AU,188,72.4,2.58,lost,EN,Nottingham,29 May 1905
EN,282,140,2.01,draw,AU,Lord's,15 Jun 1905
AU,181,50.1,3.6,draw,EN,Lord's,15 Jun 1905
EN,151/5,50,3.02,draw,AU,Lord's,15 Jun 1905
EN,301,128.3,2.34,draw,AU,Leeds,3 Jul 1905
AU,195,53.2,3.65,draw,EN,Leeds,3 Jul 1905
EN,295/5d,104,2.83,draw,AU,Leeds,3 Jul 1905
AU,224/7,91,2.46,draw,EN,Leeds,3 Jul 1905
EN,446,157.5,2.82,won,AU,Manchester,24 Jul 1905
AU,197,45.5,4.29,lost,EN,Manchester,24 Jul 1905
AU,169,52.3,3.21,lost,EN,Manchester,24 Jul 1905
EN,430,130,3.3,draw,AU,The Oval,14 Aug 1905
AU,363,93.1,3.89,draw,EN,The Oval,14 Aug 1905
EN,261/6d,80.3,3.24,draw,AU,The Oval,14 Aug 1905
AU,124/4,37,3.35,draw,EN,The Oval,14 Aug 1905
EN,273,76.5,3.55,lost,AU,Sydney,13 Dec 1907
AU,300,91.2,3.28,won,EN,Sydney,13 Dec 1907
EN,300,109,2.75,lost,AU,Sydney,13 Dec 1907
AU,275/8,98.3,2.79,won,EN,Sydney,13 Dec 1907
AU,266,100.5,2.63,lost,EN,Melbourne,1 Jan 1908
EN,382,135.2,2.82,won,AU,Melbourne,1 Jan 1908
AU,397,121.4,3.26,lost,EN,Melbourne,1 Jan 1908
EN,282/9,121.4,2.31,won,AU,Melbourne,1 Jan 1908
AU,285,94.5,3,won,EN,Adelaide,10 Jan 1908
EN,363,132,2.75,lost,AU,Adelaide,10 Jan 1908
AU,506,167.5,3.01,won,EN,Adelaide,10 Jan 1908
EN,183,63.4,2.87,lost,AU,Adelaide,10 Jan 1908
AU,214,85.5,2.49,won,EN,Melbourne,7 Feb 1908
EN,105,34.2,3.05,lost,AU,Melbourne,7 Feb 1908
AU,385,124,3.1,won,EN,Melbourne,7 Feb 1908
EN,186,68.1,2.72,lost,AU,Melbourne,7 Feb 1908
AU,137,50.4,2.7,won,EN,Sydney,21 Feb 1908
EN,281,96.1,2.92,lost,AU,Sydney,21 Feb 1908
AU,422,127.4,3.3,won,EN,Sydney,21 Feb 1908
EN,229,105.1,2.17,lost,AU,Sydney,21 Feb 1908
AU,74,46,1.6,lost,EN,Birmingham,27 May 1909
EN,121,55.3,2.18,won,AU,Birmingham,27 May 1909
AU,151,52.5,2.85,lost,EN,Birmingham,27 May 1909
EN,105/0,32.2,3.24,won,AU,Birmingham,27 May 1909
EN,269,107.2,2.5,lost,AU,Lord's,14 Jun 1909
AU,350,119.5,2.92,won,EN,Lord's,14 Jun 1909
EN,121,60.5,1.98,lost,AU,Lord's,14 Jun 1909
AU,41/1,15.4,2.61,won,EN,Lord's,14 Jun 1909
AU,188,73.1,2.56,won,EN,Leeds,1 Jul 1909
EN,182,84.3,2.15,lost,AU,Leeds,1 Jul 1909
AU,207,96.1,2.15,won,EN,Leeds,1 Jul 1909
EN,87,37.5,2.29,lost,AU,Leeds,1 Jul 1909
AU,147,54.3,2.69,draw,EN,Manchester,26 Jul 1909
EN,119,52.2,2.27,draw,AU,Manchester,26 Jul 1909
AU,279/9d,84.3,3.3,draw,EN,Manchester,26 Jul 1909
EN,108/3,55,1.96,draw,AU,Manchester,26 Jul 1909
AU,325,89.3,3.63,draw,EN,The Oval,9 Aug 1909
EN,352,106.4,3.3,draw,AU,The Oval,9 Aug 1909
AU,339/5d,100,3.39,draw,EN,The Oval,9 Aug 1909
EN,104/3,33,3.15,draw,AU,The Oval,9 Aug 1909
AU,447,127,3.51,won,EN,Sydney,15 Dec 1911
EN,318,101.5,3.12,lost,AU,Sydney,15 Dec 1911
AU,308,104.3,2.94,won,EN,Sydney,15 Dec 1911
EN,291,123.2,2.35,lost,AU,Sydney,15 Dec 1911
AU,184,62.1,2.95,lost,EN,Melbourne,30 Dec 1911
EN,265,98.1,2.69,won,AU,Melbourne,30 Dec 1911
AU,299,91.1,3.27,lost,EN,Melbourne,30 Dec 1911
EN,219/2,67.1,3.26,won,AU,Melbourne,30 Dec 1911
AU,133,60,2.21,lost,EN,Adelaide,12 Jan 1912
EN,501,177.1,2.82,won,AU,Adelaide,12 Jan 1912
AU,476,153.4,3.09,lost,EN,Adelaide,12 Jan 1912
EN,112/3,42.2,2.64,won,AU,Adelaide,12 Jan 1912
AU,191,65.1,2.93,lost,EN,Melbourne,9 Feb 1912
EN,589,190.5,3.08,won,AU,Melbourne,9 Feb 1912
AU,173,61.5,2.79,lost,EN,Melbourne,9 Feb 1912
EN,324,129,2.51,won,AU,Sydney,23 Feb 1912
AU,176,53,3.32,lost,EN,Sydney,23 Feb 1912
EN,214,70.3,3.03,won,AU,Sydney,23 Feb 1912
AU,292,102.1,2.85,lost,EN,Sydney,23 Feb 1912
EN,310/7d,90,3.44,draw,AU,Lord's,24 Jun 1912
AU,282/7,127.2,2.21,draw,EN,Lord's,24 Jun 1912
EN,203,92.5,2.18,draw,AU,Manchester,29 Jul 1912
AU,14/0,13,1.07,draw,EN,Manchester,29 Jul 1912
EN,245,114.1,2.14,won,AU,The Oval,19 Aug 1912
AU,111,54.4,2.03,lost,EN,The Oval,19 Aug 1912
EN,175,86.4,2.01,won,AU,The Oval,19 Aug 1912
AU,65,22.4,2.86,lost,EN,The Oval,19 Aug 1912
AU,267,114.5,2.32,won,EN,Sydney,17 Dec 1920
EN,190,59.1,3.21,lost,AU,Sydney,17 Dec 1920
AU,581,192.3,3.01,won,EN,Sydney,17 Dec 1920
EN,281,102.5,2.73,lost,AU,Sydney,17 Dec 1920
AU,499,137.3,3.62,won,EN,Melbourne,31 Dec 1920
EN,251,87.3,2.86,lost,AU,Melbourne,31 Dec 1920
EN,157,67.2,2.33,lost,AU,Melbourne,31 Dec 1920
AU,354,108,3.27,won,EN,Adelaide,14 Jan 1921
EN,447,132.1,3.38,lost,AU,Adelaide,14 Jan 1921
AU,582,185.5,3.13,won,EN,Adelaide,14 Jan 1921
EN,370,106.2,3.47,lost,AU,Adelaide,14 Jan 1921
EN,284,99.2,2.85,lost,AU,Melbourne,11 Feb 1921
AU,389,112.1,3.46,won,EN,Melbourne,11 Feb 1921
EN,315,117,2.69,lost,AU,Melbourne,11 Feb 1921
AU,211/2,64.2,3.27,won,EN,Melbourne,11 Feb 1921
EN,204,70.1,2.9,lost,AU,Sydney,25 Feb 1921
AU,392,91.3,4.28,won,EN,Sydney,25 Feb 1921
EN,280,101.2,2.76,lost,AU,Sydney,25 Feb 1921
AU,93/1,34.2,2.7,won,EN,Sydney,25 Feb 1921
EN,112,37,3.02,lost,AU,Nottingham,28 May 1921
AU,232,78,2.97,won,EN,Nottingham,28 May 1921
EN,147,85.4,1.71,lost,AU,Nottingham,28 May 1921
AU,30/0,6.1,4.86,won,EN,Nottingham,28 May 1921
EN,187,68.2,2.73,lost,AU,Lord's,11 Jun 1921
AU,342,84.1,4.06,won,EN,Lord's,11 Jun 1921
EN,283,90.2,3.13,lost,AU,Lord's,11 Jun 1921
AU,131/2,30.3,4.29,won,EN,Lord's,11 Jun 1921
AU,407,93.1,4.36,won,EN,Leeds,2 Jul 1921
EN,259,93.1,2.77,lost,AU,Leeds,2 Jul 1921
AU,273/7d,73,3.73,won,EN,Leeds,2 Jul 1921
EN,202,52.2,3.85,lost,AU,Leeds,2 Jul 1921
EN,362/4d,120,3.01,draw,AU,Manchester,23 Jul 1921
AU,175,116.4,1.5,draw,EN,Manchester,23 Jul 1921
EN,44/1,13,3.38,draw,AU,Manchester,23 Jul 1921
EN,403/8d,127,3.17,draw,AU,The Oval,13 Aug 1921
AU,389,102,3.81,draw,EN,The Oval,13 Aug 1921
EN,244/2,58,4.2,draw,AU,The Oval,13 Aug 1921
AU,450,152.2x8,2.21,won,EN,Sydney,19 Dec 1924
EN,298,79.7x8,2.79,lost,AU,Sydney,19 Dec 1924
AU,452,125.7x8,2.69,won,EN,Sydney,19 Dec 1924
EN,411,96.7x8,3.18,lost,AU,Sydney,19 Dec 1924
AU,600,149.5x8,3,won,EN,Melbourne,1 Jan 1925
EN,479,138.0x8,2.6,lost,AU,Melbourne,1 Jan 1925
AU,250,79.3x8,2.36,won,EN,Melbourne,1 Jan 1925
EN,290,106.3x8,2.04,lost,AU,Melbourne,1 Jan 1925
AU,489,153.0x8,2.39,won,EN,Adelaide,16 Jan 1925
EN,365,117.2x8,2.33,lost,AU,Adelaide,16 Jan 1925
AU,250,68.1x8,2.75,won,EN,Adelaide,16 Jan 1925
EN,363,111.2x8,2.44,lost,AU,Adelaide,16 Jan 1925
EN,548,151.6x8,2.7,won,AU,Melbourne,13 Feb 1925
AU,269,63.3x8,3.18,lost,EN,Melbourne,13 Feb 1925
AU,250,74.5x8,2.51,lost,EN,Melbourne,13 Feb 1925
AU,295,102.5x8,2.15,won,EN,Sydney,27 Feb 1925
EN,167,47.7x8,2.61,lost,AU,Sydney,27 Feb 1925
AU,325,118.3x8,2.05,won,EN,Sydney,27 Feb 1925
EN,146,44.4x8,2.46,lost,AU,Sydney,27 Feb 1925
AU,DNB,0,,draw,EN,Nottingham,12 Jun 1926
EN,32/0,17.2,1.84,draw,AU,Nottingham,12 Jun 1926
AU,383,154.5,2.47,draw,EN,Lord's,26 Jun 1926
EN,475/3d,168,2.82,draw,AU,Lord's,26 Jun 1926
AU,194/5,88,2.2,draw,EN,Lord's,26 Jun 1926
AU,494,165,2.99,draw,EN,Leeds,10 Jul 1926
EN,294,128,2.29,draw,AU,Leeds,10 Jul 1926
EN,254/3,86,2.95,draw,AU,Leeds,10 Jul 1926
AU,335,150.2,2.22,draw,EN,Manchester,24 Jul 1926
EN,305/5,125,2.44,draw,AU,Manchester,24 Jul 1926
EN,280,95.5,2.92,won,AU,The Oval,14 Aug 1926
AU,302,152.1,1.98,lost,EN,The Oval,14 Aug 1926
EN,436,182.5,2.38,won,AU,The Oval,14 Aug 1926
AU,125,52.3,2.38,lost,EN,The Oval,14 Aug 1926
EN,521,175.3,2.96,won,AU,Brisbane,30 Nov 1928
AU,122,50.4,2.4,lost,EN,Brisbane,30 Nov 1928
EN,342/8d,135.1,2.53,won,AU,Brisbane,30 Nov 1928
AU,66,25.3,2.58,lost,EN,Brisbane,30 Nov 1928
AU,253,108.2,2.33,lost,EN,Sydney,14 Dec 1928
EN,636,272.1,2.33,won,AU,Sydney,14 Dec 1928
AU,397,151.4,2.61,lost,EN,Sydney,14 Dec 1928
EN,16/2,7,2.28,won,AU,Sydney,14 Dec 1928
AU,397,180.5,2.19,lost,EN,Melbourne,29 Dec 1928
EN,417,195,2.13,won,AU,Melbourne,29 Dec 1928
AU,351,165.5,2.11,lost,EN,Melbourne,29 Dec 1928
EN,332/7,159.5,2.07,won,AU,Melbourne,29 Dec 1928
EN,334,183.1,1.82,won,AU,Adelaide,1 Feb 1929
AU,369,160,2.3,lost,EN,Adelaide,1 Feb 1929
EN,383,200.4,1.9,won,AU,Adelaide,1 Feb 1929
AU,336,151.5,2.21,lost,EN,Adelaide,1 Feb 1929
EN,519,215.1,2.41,lost,AU,Melbourne,8 Mar 1929
AU,491,271.3,1.8,won,EN,Melbourne,8 Mar 1929
EN,257,86.3,2.97,lost,AU,Melbourne,8 Mar 1929
AU,287/5,134.1,2.13,won,EN,Melbourne,8 Mar 1929
EN,270,89.4,3.01,won,AU,Nottingham,13 Jun 1930
AU,144,72,2,lost,EN,Nottingham,13 Jun 1930
EN,302,96,3.14,won,AU,Nottingham,13 Jun 1930
AU,335,139.2,2.4,lost,EN,Nottingham,13 Jun 1930
EN,425,128.4,3.3,lost,AU,Lord's,27 Jun 1930
AU,729/6d,232,3.14,won,EN,Lord's,27 Jun 1930
EN,375,116.4,3.21,lost,AU,Lord's,27 Jun 1930
AU,72/3,28.2,2.54,won,EN,Lord's,27 Jun 1930
AU,566,168,3.36,draw,EN,Leeds,11 Jul 1930
EN,391,175.2,2.23,draw,AU,Leeds,11 Jul 1930
EN,95/3,51.5,1.83,draw,AU,Leeds,11 Jul 1930
AU,345,167.1,2.06,draw,EN,Manchester,25 Jul 1930
EN,251/8,108,2.32,draw,AU,Manchester,25 Jul 1930
EN,405,171.2,2.36,lost,AU,The Oval,16 Aug 1930
AU,695,256.1,2.71,won,EN,The Oval,16 Aug 1930
EN,251,99.2,2.52,lost,AU,The Oval,16 Aug 1930
AU,360,102.2,3.51,lost,EN,Sydney,2 Dec 1932
EN,524,229.4,2.28,won,AU,Sydney,2 Dec 1932
AU,164,63.3,2.58,lost,EN,Sydney,2 Dec 1932
EN,1/0,0.1,6,won,AU,Sydney,2 Dec 1932
AU,228,86.3,2.63,won,EN,Melbourne,30 Dec 1932
EN,169,85.3,1.97,lost,AU,Melbourne,30 Dec 1932
AU,191,56.5,3.36,won,EN,Melbourne,30 Dec 1932
EN,139,55.1,2.51,lost,AU,Melbourne,30 Dec 1932
EN,341,146.1,2.33,won,AU,Adelaide,13 Jan 1933
AU,222,95.4,2.32,lost,EN,Adelaide,13 Jan 1933
EN,412,191.3,2.15,won,AU,Adelaide,13 Jan 1933
AU,193,69.2,2.78,lost,EN,Adelaide,13 Jan 1933
AU,340,121,2.8,lost,EN,Brisbane,10 Feb 1933
EN,356,185.4,1.91,won,AU,Brisbane,10 Feb 1933
AU,175,68.3,2.55,lost,EN,Brisbane,10 Feb 1933
EN,162/4,79.4,2.03,won,AU,Brisbane,10 Feb 1933
AU,435,108.2,4.01,lost,EN,Sydney,23 Feb 1933
EN,454,171.2,2.64,won,AU,Sydney,23 Feb 1933
AU,182,54.4,3.32,lost,EN,Sydney,23 Feb 1933
EN,168/2,71.2,2.35,won,AU,Sydney,23 Feb 1933
AU,374,152.2,2.45,won,EN,Nottingham,8 Jun 1934
EN,268,138.3,1.93,lost,AU,Nottingham,8 Jun 1934
AU,273/8d,90,3.03,won,EN,Nottingham,8 Jun 1934
EN,141,107.4,1.3,lost,AU,Nottingham,8 Jun 1934
EN,440,198.3,2.21,won,AU,Lord's,22 Jun 1934
AU,284,109,2.6,lost,EN,Lord's,22 Jun 1934
AU,118,53.3,2.2,lost,EN,Lord's,22 Jun 1934
EN,627/9d,201,3.11,draw,AU,Manchester,6 Jul 1934
AU,491,190.3,2.57,draw,EN,Manchester,6 Jul 1934
EN,123/0d,52,2.36,draw,AU,Manchester,6 Jul 1934
AU,66/1,27,2.44,draw,EN,Manchester,6 Jul 1934
EN,200,105.4,1.89,draw,AU,Leeds,20 Jul 1934
AU,584,183.5,3.17,draw,EN,Leeds,20 Jul 1934
EN,229/6,135.5,1.68,draw,AU,Leeds,20 Jul 1934
AU,701,171.2,4.09,won,EN,The Oval,18 Aug 1934
EN,321,117.3,2.73,lost,AU,The Oval,18 Aug 1934
AU,327,68.3,4.77,won,EN,The Oval,18 Aug 1934
EN,145,63.3,2.28,lost,AU,The Oval,18 Aug 1934
EN,358,113.6x8,2.36,won,AU,Brisbane,4 Dec 1936
AU,234,85.6x8,2.04,lost,EN,Brisbane,4 Dec 1936
EN,256,116.6x8,1.64,won,AU,Brisbane,4 Dec 1936
AU,58,12.3x8,3.51,lost,EN,Brisbane,4 Dec 1936
EN,426/6d,141.2x8,2.26,won,AU,Sydney,18 Dec 1936
AU,80,23.7x8,2.51,lost,EN,Sydney,18 Dec 1936
AU,324,96.7x8,2.5,lost,EN,Sydney,18 Dec 1936
AU,200/9d,65.3x8,2.29,won,EN,Melbourne,1 Jan 1937
EN,76/9d,28.2x8,2.01,lost,AU,Melbourne,1 Jan 1937
AU,564,149.7x8,2.82,won,EN,Melbourne,1 Jan 1937
EN,323,78.6x8,3.07,lost,AU,Melbourne,1 Jan 1937
AU,288,77.6x8,2.77,won,EN,Adelaide,29 Jan 1937
EN,330,113.4x8,2.18,lost,AU,Adelaide,29 Jan 1937
AU,433,123.2x8,2.63,won,EN,Adelaide,29 Jan 1937
EN,243,74.0x8,2.46,lost,AU,Adelaide,29 Jan 1937
AU,604,140.5x8,3.22,won,EN,Melbourne,26 Feb 1937
EN,239,71.5x8,2.5,lost,AU,Melbourne,26 Feb 1937
EN,165,49.2x8,2.51,lost,AU,Melbourne,26 Feb 1937
EN,658/8d,188,3.5,draw,AU,Nottingham,10 Jun 1938
AU,411,130.3,3.14,draw,EN,Nottingham,10 Jun 1938
AU,427/6d,184,2.32,draw,EN,Nottingham,10 Jun 1938
EN,494,137.3,3.59,draw,AU,Lord's,24 Jun 1938
AU,422,121.4,3.46,draw,EN,Lord's,24 Jun 1938
EN,242/8d,72,3.36,draw,AU,Lord's,24 Jun 1938
AU,204/6,48.2,4.22,draw,EN,Lord's,24 Jun 1938
EN,223,98.1,2.27,lost,AU,Leeds,22 Jul 1938
AU,242,98.4,2.45,won,EN,Leeds,22 Jul 1938
EN,123,50.5,2.41,lost,AU,Leeds,22 Jul 1938
AU,107/5,32.3,3.29,won,EN,Leeds,22 Jul 1938
EN,903/7d,335.2,2.69,won,AU,The Oval,20 Aug 1938
AU,201,52.1,3.85,lost,EN,The Oval,20 Aug 1938
AU,123,34.1,3.6,lost,EN,The Oval,20 Aug 1938
AU,645,158.6x8,3.04,won,EN,Brisbane,29 Nov 1946
EN,141,61.5x8,1.71,lost,AU,Brisbane,29 Nov 1946
EN,172,43.7x8,2.94,lost,AU,Brisbane,29 Nov 1946
EN,255,96.1x8,1.98,lost,AU,Sydney,13 Dec 1946
AU,659/8d,173.0x8,2.85,won,EN,Sydney,13 Dec 1946
EN,371,106.4x8,2.61,lost,AU,Sydney,13 Dec 1946
AU,365,97.3x8,2.81,draw,EN,Melbourne,1 Jan 1947
EN,351,108.5x8,2.42,draw,AU,Melbourne,1 Jan 1947
AU,536,113.3x8,3.54,draw,EN,Melbourne,1 Jan 1947
EN,310/7,100.0x8,2.32,draw,AU,Melbourne,1 Jan 1947
