Team,Mat,Won,Lost,Tied,Draw,RPO,StartDate,Winner,Location,Year,Type,notes
EN,5,1,4,0,0,3.02,7 Nov 2002,AU,AU,2002/03,,
AU,5,1,2,0,2,3.72,21 Jul 2005,EN,EN,2005,,
EN,5,2,1,0,2,3.87,21 Jul 2005,EN,EN,2005,,
AU,5,5,0,0,0,3.9,23 Nov 2006,AU,AU,2006/07,,
EN,5,0,5,0,0,2.84,23 Nov 2006,AU,AU,2006/07,,
AU,5,1,2,0,2,3.63,8 Jul 2009,EN,EN,2009,,
EN,5,2,1,0,2,3.77,8 Jul 2009,EN,EN,2009,,
AU,5,1,3,0,1,3.09,25 Nov 2010,EN,AU,2010/11,,
EN,5,3,1,0,1,3.5,25 Nov 2010,EN,AU,2010/11,,
AU,5,0,3,0,2,3.37,10 Jul 2013,EN,EN,2013,,
EN,5,3,0,0,2,2.99,10 Jul 2013,EN,EN,2013,,
AU,5,5,0,0,0,3.75,21 Nov 2013,AU,AU,2013/14,,
EN,5,0,5,0,0,2.89,21 Nov 2013,AU,AU,2013/14,,
