Team,Mat,Won,Lost,Tied,Draw,W/L,Ave,RPO,Inns,HS,LS,StartDate,Winner,Tour,Year,Show
AU,6,1,3,0,2,0.333,31.58,2.83,11,539,129,13 Jun 1985,EN,AU in EN,1985
AU,5,1,2,0,2,0.500,33.80,2.51,10,514,141,14 Nov 1986,EN,EN in AU,1986/87
AU,6,4,0,0,2,,57.86,3.12,11,602,424,8 Jun 1989,AU,AU in EN,1989
AU,5,3,0,0,2,,38.57,2.90,10,518,152,23 Nov 1990,AU,EN in AU,1990/91
AU,6,4,1,0,1,4.000,51.28,3.07,10,653,229,3 Jun 1993,AU,AU in EN,1993
AU,5,3,1,0,1,3.000,33.94,3.01,10,426,116,25 Nov 1994,AU,EN in AU,1994/95
AU,6,3,2,0,1,1.500,32.19,3.39,10,501,104,5 Jun 1997,AU,AU in EN,1997
AU,5,3,1,0,1,3.000,33.37,3.16,10,485,162,20 Nov 1998,AU,EN in AU,1998/99
AU,5,4,1,0,0,4.000,49.11,4.26,8,641,190,5 Jul 2001,AU,AU in EN,2001
AU,5,4,1,0,0,4.000,46.81,4.09,8,552,226,7 Nov 2002,AU,EN in AU,2002/03
AU,5,1,2,0,2,0.500,31.57,3.72,10,387,190,21 Jul 2005,EN,AU in EN,2005
AU,5,5,0,0,0,,52.77,3.90,9,602,244,23 Nov 2006,AU,EN in AU,2006/07
AU,5,1,2,0,2,0.500,40.64,3.63,8,674,160,8 Jul 2009,EN,AU in EN,2009
AU,5,1,3,0,1,0.333,29.23,3.09,10,481,98,25 Nov 2010,EN,EN in AU,2010/11
AU,5,0,3,0,2,0.000,30.73,3.37,10,527,128,10 Jul 2013,EN,AU in EN,2013
AU,5,5,0,0,0,,41.41,3.75,10,570,204,21 Nov 2013,AU,EN in AU,2013/14
AU,3,1,2,0,0,0.500,35.42,3.77,6,566,136,8 Jul 2015,ongoing,AU in EN,2015
