Bat1,Bat2,Runs,BF,SR,4s,6s,Opposition,Ground,StartDate,Player
18,1,19,,,,,England,Brisbane,30 Nov 1928,bradman
79,112,191,,,,,England,Melbourne,29 Dec 1928,bradman
40,58,98,,,,,England,Adelaide,1 Feb 1929,bradman
123,37*,160,,,,,England,Melbourne,8 Mar 1929,bradman
8,131,139,,,,,England,Nottingham,13 Jun 1930,bradman
254,1,255,,,,,England,Lord's,27 Jun 1930,bradman
334,-,334,,,,,England,Leeds,11 Jul 1930,bradman
14,-,14,,,,,England,Manchester,25 Jul 1930,bradman
232,-,232,,,,,England,The Oval,16 Aug 1930,bradman
4,DNB,4,,,,,West Indies,Adelaide,12 Dec 1930,bradman
25,-,25,,,,,West Indies,Sydney,1 Jan 1931,bradman
223,-,223,,,,,West Indies,Brisbane,16 Jan 1931,bradman
152,-,152,,,,,West Indies,Melbourne,13 Feb 1931,bradman
43,0,43,,,,,West Indies,Sydney,27 Feb 1931,bradman
226,-,226,,,,,South Africa,Brisbane,27 Nov 1931,bradman
112,-,112,,,,,South Africa,Sydney,18 Dec 1931,bradman
2,167,169,,,,,South Africa,Melbourne,31 Dec 1931,bradman
299*,DNB,299,,,,,South Africa,Adelaide,29 Jan 1932,bradman
absent,-,-,,,,,South Africa,Melbourne,12 Feb 1932,bradman
0,103*,103,,,,,England,Melbourne,30 Dec 1932,bradman
8,66,74,,,,,England,Adelaide,13 Jan 1933,bradman
76,24,100,,,,,England,Brisbane,10 Feb 1933,bradman
48,71,119,,,,,England,Sydney,23 Feb 1933,bradman
29,25,54,,,,,England,Nottingham,8 Jun 1934,bradman
36,13,49,,,,,England,Lord's,22 Jun 1934,bradman
30,DNB,30,,,,,England,Manchester,6 Jul 1934,bradman
304,-,304,,,,,England,Leeds,20 Jul 1934,bradman
244,77,321,,,,,England,The Oval,18 Aug 1934,bradman
38,0,38,,,,,England,Brisbane,4 Dec 1936,bradman
0,82,82,,,,,England,Sydney,18 Dec 1936,bradman
13,270,283,,,,,England,Melbourne,1 Jan 1937,bradman
26,212,238,,,,,England,Adelaide,29 Jan 1937,bradman
169,-,169,,,,,England,Melbourne,26 Feb 1937,bradman
51,144*,195,,,,,England,Nottingham,10 Jun 1938,bradman
18,102*,120,,,,,England,Lord's,24 Jun 1938,bradman
103,16,119,,,,,England,Leeds,22 Jul 1938,bradman
absent,absent,-,,,,,England,The Oval,20 Aug 1938,bradman
187,-,187,,,,,England,Brisbane,29 Nov 1946,bradman
234,-,234,,,,,England,Sydney,13 Dec 1946,bradman
79,49,128,,,,,England,Melbourne,1 Jan 1947,bradman
0,56*,56,,,,,England,Adelaide,31 Jan 1947,bradman
12,63,75,,,,,England,Sydney,28 Feb 1947,bradman
185,-,185,,,,,India,Brisbane,28 Nov 1947,bradman
13,-,13,,,,,India,Sydney,12 Dec 1947,bradman
132,127*,259,,,,,India,Melbourne,1 Jan 1948,bradman
201,-,201,,,,,India,Adelaide,23 Jan 1948,bradman
57*,-,57,,,,,India,Melbourne,6 Feb 1948,bradman
138,0,138,,,,,England,Nottingham,10 Jun 1948,bradman
38,89,127,,,,,England,Lord's,24 Jun 1948,bradman
7,30*,37,,,,,England,Manchester,8 Jul 1948,bradman
33,173*,206,,,,,England,Leeds,22 Jul 1948,bradman
0,-,0,,,,,England,The Oval,14 Aug 1948,bradman
83,28,111,,,,,Australia,Melbourne,1 Jan 1908,hobbs
26,23*,49,,,,,Australia,Adelaide,10 Jan 1908,hobbs
57,0,57,,,,,Australia,Melbourne,7 Feb 1908,hobbs
72,13,85,,,,,Australia,Sydney,21 Feb 1908,hobbs
0,62*,62,,,,,Australia,Birmingham,27 May 1909,hobbs
19,9,28,,,,,Australia,Lord's,14 Jun 1909,hobbs
12,30,42,,,,,Australia,Leeds,1 Jul 1909,hobbs
89,35,124,,,,,South Africa,Johannesburg,1 Jan 1910,hobbs
53,70,123,,,,,South Africa,Durban,21 Jan 1910,hobbs
11,93*,104,,,,,South Africa,Johannesburg,26 Feb 1910,hobbs
1,0,1,,,,,South Africa,Cape Town,7 Mar 1910,hobbs
187,DNB,187,,,,,South Africa,Cape Town,11 Mar 1910,hobbs
63,22,85,,,,,Australia,Sydney,15 Dec 1911,hobbs
6,126*,132,,,,,Australia,Melbourne,30 Dec 1911,hobbs
187,3,190,,,,,Australia,Adelaide,12 Jan 1912,hobbs
178,-,178,,,,,Australia,Melbourne,9 Feb 1912,hobbs
32,45,77,,,,,Australia,Sydney,23 Feb 1912,hobbs
4,-,4,,,,,South Africa,Lord's,10 Jun 1912,hobbs
107,-,107,,,,,Australia,Lord's,24 Jun 1912,hobbs
27,55,82,,,,,South Africa,Leeds,8 Jul 1912,hobbs
19,-,19,,,,,Australia,Manchester,29 Jul 1912,hobbs
68,9*,77,,,,,South Africa,The Oval,12 Aug 1912,hobbs
66,32,98,,,,,Australia,The Oval,19 Aug 1912,hobbs
